1,1,STICK
1,2,STICK
1,3,STICK
1,4,HIT
1,5,STICK
1,6,STICK
1,7,STICK
1,8,HIT
1,9,HIT
1,10,STICK
2,1,STICK
2,2,STICK
2,3,STICK
2,4,STICK
2,5,STICK
2,6,STICK
2,7,HIT
2,8,STICK
2,9,HIT
2,10,HIT
3,1,STICK
3,2,STICK
3,3,HIT
3,4,STICK
3,5,STICK
3,6,HIT
3,7,HIT
3,8,HIT
3,9,HIT
3,10,STICK
4,1,STICK
4,2,HIT
4,3,HIT
4,4,HIT
4,5,STICK
4,6,STICK
4,7,HIT
4,8,HIT
4,9,HIT
4,10,STICK
5,1,STICK
5,2,STICK
5,3,STICK
5,4,STICK
5,5,STICK
5,6,HIT
5,7,STICK
5,8,STICK
5,9,HIT
5,10,HIT
6,1,STICK
6,2,STICK
6,3,STICK
6,4,STICK
6,5,STICK
6,6,STICK
6,7,HIT
6,8,STICK
6,9,HIT
6,10,HIT
7,1,STICK
7,2,HIT
7,3,STICK
7,4,STICK
7,5,STICK
7,6,STICK
7,7,HIT
7,8,HIT
7,9,HIT
7,10,HIT
8,1,HIT
8,2,STICK
8,3,STICK
8,4,HIT
8,5,HIT
8,6,HIT
8,7,HIT
8,8,STICK
8,9,HIT
8,10,HIT
9,1,STICK
9,2,STICK
9,3,STICK
9,4,STICK
9,5,HIT
9,6,STICK
9,7,HIT
9,8,HIT
9,9,HIT
9,10,HIT
10,1,STICK
10,2,HIT
10,3,STICK
10,4,STICK
10,5,STICK
10,6,HIT
10,7,HIT
10,8,HIT
10,9,HIT
10,10,HIT
11,1,HIT
11,2,HIT
11,3,HIT
11,4,STICK
11,5,STICK
11,6,STICK
11,7,HIT
11,8,HIT
11,9,HIT
11,10,HIT
12,1,STICK
12,2,HIT
12,3,STICK
12,4,STICK
12,5,STICK
12,6,STICK
12,7,HIT
12,8,HIT
12,9,HIT
12,10,HIT
13,1,STICK
13,2,STICK
13,3,HIT
13,4,HIT
13,5,STICK
13,6,HIT
13,7,STICK
13,8,HIT
13,9,HIT
13,10,HIT
14,1,STICK
14,2,HIT
14,3,STICK
14,4,HIT
14,5,STICK
14,6,STICK
14,7,HIT
14,8,HIT
14,9,HIT
14,10,HIT
15,1,STICK
15,2,STICK
15,3,STICK
15,4,HIT
15,5,HIT
15,6,STICK
15,7,HIT
15,8,STICK
15,9,STICK
15,10,HIT
16,1,STICK
16,2,STICK
16,3,STICK
16,4,STICK
16,5,STICK
16,6,STICK
16,7,STICK
16,8,HIT
16,9,HIT
16,10,HIT
17,1,STICK
17,2,STICK
17,3,STICK
17,4,STICK
17,5,HIT
17,6,STICK
17,7,STICK
17,8,STICK
17,9,HIT
17,10,STICK
18,1,STICK
18,2,STICK
18,3,STICK
18,4,STICK
18,5,STICK
18,6,STICK
18,7,STICK
18,8,STICK
18,9,STICK
18,10,HIT
19,1,STICK
19,2,STICK
19,3,STICK
19,4,STICK
19,5,STICK
19,6,STICK
19,7,STICK
19,8,STICK
19,9,STICK
19,10,STICK
20,1,STICK
20,2,STICK
20,3,STICK
20,4,STICK
20,5,STICK
20,6,STICK
20,7,STICK
20,8,STICK
20,9,STICK
20,10,STICK
